English,portugues,Coreano
you,você,너
I or I .,Eu ou eu.,나 또는 나.
to,para,에게
the,o,그만큼
a or A .,a ou a.,a 또는 a.
and,e,그리고
that,que,저것
it,isto,그것
of,de,~의
me,meu,나
what,o que,무엇
is,é,~이다
in,em,~에
this,esse,이것
know,saber,알다 
I'm,Eu sou,나는
for,para,~을 위한
no,não,아니요
have,ter,가지다
my,meu,나의
don't,não,~하지 않다
just,apenas,단지
not,não,~ 아니다
do,fazer,하다
be,ser,BE
on,sobre,~에
your,seu,당신의
was,era,~였다
we,nós,우리
it's,isso é,그것은
with,com,~와 함께
so,então,그래서
but,mas,하지만
all,todos,모두
well,bem,잘
are,são,~이다
he,ele,그
oh,oh,오
about,sobre,~에 대한
right,certo,오른쪽
you're,você é,당신은
get,pegar,얻다
here,aqui,여기
out,fora,밖으로
going,indo,가고 있다
like,como,좋다
yeah,sim,응
if,se,만약에
her,dela,그녀의
she,ela,그녀
can,pode,~할 수 있다
up,acima,위로
want,querer,원하다
think,pensar,생각하다
that's,isso é,그게
now,agora,지금
go,ir,가다
him,ele,그를
at,no,~에
how,como,어떻게
got,pegou,갖다
there,lá,거기
one,um,하나
did,fez,했다
why,por que,왜
see,ver,보다
come,vir,오다
good,bom,좋은
they,eles,그들
really,realmente,정말
as,como,~처럼
would,seria,~일 것이다
look,olhar,바라보다
when,quando,언제
time,tempo,시간
will,vai,~ 할 것이다
okay,OK,좋아요
back,voltar,뒤쪽에
can't,não pode,캔트
mean,significar,평균
tell,dizer,말하다
I'll,Doente,아픈
from,de,~에서
hey,ei,여기요
were,eram,~이었다
he's,ele é,그는
could,poderia,~할 수 있었다
didn't,não,그렇지 않았다
yes,sim,예
his,dele,그의
been,estive,계속 ~ 이다
or,ou,또는
something,algo,무엇
who,Quem,WHO
because,porque,왜냐하면
some,alguns,일부
had,tive,가졌다
then,então,그 다음에
say,dizer,말하다
ok,OK,좋아요
take,pegar,가져가다
an,um,an
way,caminho,방법
us,nós,우리를
little,pequeno,작은
make,fazer,만들다
need,precisar,필요
gonna,vai,할거야
never,nunca,절대
we're,eram,이었다
too,também,~도
love,amor,사랑
she's,ela é,그녀는
I've,Eu tenho,나는
sure,claro,확신하는
them,eles,그들을
more,mais,더
over,sobre,~ 위에
our,nosso,우리의
sorry,desculpe,죄송합니다
where,onde,어디
what's,o que é,뭐야
let,deixar,허락하다
thing,coisa,물건
am,sou,~이다
maybe,talvez,아마도
down,abaixo,아래에
man,homem,남성
has,tem,가지다
uh,uh,음
very,muito,매우
by,por,~에 의해
there's,há,거기 있습니다
should,deve,~해야 한다
anything,qualquer coisa,아무것
said,disse,말했다
much,muito,많이
any,qualquer,어느
life,vida,삶
even,até,심지어
off,desligado,끄다
please,por favor,제발
doing,fazendo,행위
thank,agradecer,감사하다
give,dar,주다
only,apenas,오직
thought,pensamento,생각
help,ajuda,돕다
two,dois,둘
talk,falar,말하다
people,pessoas,사람들
god,Deus,하나님
still,ainda,아직
wait,espere,기다리다
into,em,~ 안으로
find,encontrar,찾다
nothing,nada,아무것도 아님
again,de novo,다시
things,coisas,것들
let's,Vamos,하자
doesn't,não,그렇지 않습니다
call,chamar,부르다
told,contado,말했다
great,ótimo,엄청난
before,antes,~ 전에
better,melhorar,더 나은
ever,sempre,항상
night,noite,밤
than,que,~보다
away,ausente,떨어져 있는
first,primeiro,첫 번째
believe,acreditar,믿다
other,outro,다른
feel,sentir,느끼다
everything,tudo,모든 것
work,trabalhar,일하다
you've,você,당신은
fine,multar,괜찮은
home,lar,집
after,depois,~ 후에
last,durar,마지막
these,esses,이것들
day,dia,낮
keep,manter,유지하다
does,faz,하다
put,colocar,놓다
around,em volta,약
stop,parar,멈추다
they're,eles estão,그것들입니다
I'd,Eu ia,ID
guy,cara,남자
long,longo,긴
isn't,não é,그렇지 않습니다
always,sempre,언제나
listen,ouvir,듣다
wanted,desejado,원해
Mr .,Senhor .,씨 .
guys,pessoal,얘들아
huh,huh,뭐
those,aqueles,저것들
big,grande,큰
lot,muito,많은
happened,ocorrido,일어난
thanks,obrigado,감사해요
won't,não vai,습관
trying,tentando,견딜 수 없는
kind,tipo,친절한
wrong,errado,잘못된
through,através,~을 통해
talking,conversando,말하는
made,feito,만들어진
new,novo,새로운
being,ser,존재
guess,adivinhar,추측하다
hi,oi,안녕
care,Cuidado,케어
bad,ruim,나쁜
mom,mãe,엄마
remember,lembrar,기억하다
getting,recebendo,구하는
we'll,bem,잘
together,junto,함께
dad,pai,아빠
leave,deixar,떠나다
mother,mãe,어머니
place,lugar,장소
understand,entender,이해하다
wouldn't,não seria,그렇지 않을 것입니다
actually,na verdade,실제로
hear,ouvir,듣다
baby,bebê,아기
nice,legal,멋진
father,pai,아버지
else,outro,또 다른
stay,ficar,머무르다
done,feito,완료
wasn't,Não,그렇지 않았습니다
their,deles,그들의
course,curso,강의
might,poder,~할 것 같다
mind,mente,정신
every,todo,모든
enough,suficiente,충분한
try,tentar,노력하다
hell,inferno,지옥
came,veio,왔다
someone,alguém,누구
you'll,você vai,당신은
own,ter,소유하다
family,família,가족
whole,todo,전체
another,outro,또 다른
house or House,casa ou casa,집이나 집
Jack or jack,Jack ou Jack,잭 또는 잭
yourself,você mesmo,당신 자신
idea,ideia,아이디어
ask,perguntar,묻다
best,melhor,최상의
must,deve,~ 해야 하다
coming,chegando,오는
old,velho,오래된
looking,olhando,보고
woman,mulher,여성
hello,olá,안녕하세요
which,qual,어느
years,anos,연령
room,sala,방
money,dinheiro,돈
left,esquerda,왼쪽
knew,sabia,알고 있었다
tonight,essa noite,오늘 밤
real,real,진짜
son,filho,아들
hope,ter esperança,희망
name,nome,이름
same,mesmo,같은
went,foi,갔다
um,hum,음
hmm,hum,흠
happy,feliz,행복하다
pretty,bonito,예쁜
saw,serra,봤다
girl,garota,소녀
sir,senhor,선생님
show,mostrar,보여주다
friend,amigo,친구
already,já,이미
saying,ditado,속담
may or May,poder ou poder,5 월 또는 5 월
next,próximo,다음
three,três,삼
job,trabalho,직업
problem,problema,문제
minute,minuto,분
found,encontrado,설립하다
world,mundo,세계
thinking,pensamento,생각
haven't,não,하지 않았다
heard,ouviu,들었다
honey,mel,꿀
matter,matéria,문제
myself,eu mesmo,내 자신
couldn't,não poderia,할 수 없었습니다
exactly,exatamente,정확히
having,tendo,was
ah,Ah,아
probably,provavelmente,아마
happen,acontecer,일어나다
we've,nós temos,우리는
hurt,ferir,아프다
boy,garoto,소년
both,ambos,둘 다
while,enquanto,~하는 동안
dead,morto,죽은
gotta,preciso,gotta
alone,sozinho,홀로
since,desde,~부터
excuse,desculpa,변명
start,começar,시작
kill,matar,죽이다
hard,duro,딱딱한
you'd,você,당신은
today,hoje,오늘
car,carro,자동차
ready,preparar,준비가 된
until,até,~까지
without,sem,없이
whatever,qualquer que seja,무엇이든
wants,quer,원한다
hold,segurar,잡고 있다
wanna,quero,원해
yet,ainda,아직
seen,visto,본다
deal,negócio,거래
took,pegou,가지고 갔다
once,uma vez,한 번
gone,perdido,다 쓴
called,chamado,~라고 불리는
morning,manhã,아침
supposed,suposto,추정된
friends,amigos,친구
head,cabeça,머리
stuff,coisa,물건
most,maioria,최대
used,usado,사용된
worry,preocupar,걱정하다
second,segundo,두번째
part,papel,부분
live,ao vivo,살다
truth,verdade,진실
school,escola,학교
face,face,얼굴
forget,esquecer,잊다
TRUE,verdadeiro,진실
business,negócios,사업
each,cada,각
cause,causa,원인
soon,breve,곧
knows,sabe,알고 있습니다
few,alguns,약간의
telling,dizendo,말함
wife,esposa,부인
who's,quem é,누가
use,usar,사용
chance,chance,가능성
run,correr,달리다
move,mover,이동하다
anyone,qualquer um,누구나
person,pessoa,사람
bye,tchau,안녕
J .,J.,제이 .
somebody,alguém,어떤 사람
Dr . or dr .,Dr. ou dr.,박사 또는 박사.
heart,coração,마음
such,tal,그런
miss,perder,놓치다
married,casado,기혼
point,apontar,가리키다
later,mais tarde,나중에
making,fazendo,만들기
meet,encontrar,만나다
anyway,de qualquer forma,그래도
many,muitos,많은
phone,telefone,핸드폰
reason,razão,이유
damn,droga,젠장
lost,perdido,잃어버린
looks,visual,외모
bring,trazer,가져오다
case,caso,사례
turn,vez,회전하다
wish,desejar,소망
tomorrow,amanhã,내일
kids,crianças,어린이
trust,confiar,신뢰하다
check,verificar,확인하다
change,mudar,변화
end,fim,끝
late,tarde,늦은
anymore,não mais,더 이상
five,cinco,다섯
least,ao menos,최소
town,cidade,도시
aren't,não são,그렇지 않습니다
ha,ha,하아
working,trabalhando,일하고 있는
year,ano,년도
makes,faz,만듭니다
taking,tirando,취득
means,significa,수단
brother,irmão,형제
play,jogar,놀다
hate,odiar,싫어하다
ago,atrás,~ 전에
says,diz,말한다
beautiful,lindo,아름다운
gave,deu,주었다
fact,facto,사실
crazy,louco,미친
party,festa,파티
sit,sentar,앉다
open,abrir,열려 있는
